code,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
858,3321,3327,3328,3326,3324,3326,3331,3340,3351,3363,3374,3386,3397,3408,3420,3432
862,24488,24948,25409,25869,26327,26784,27239,27692,28142,28587,29028,29463,29893,30318,30738,31155
60,64,64,65,65,65,65,65,65,65,64,64,64,63,63,62,62
124,30736,31025,31321,31628,31949,32288,32645,33020,33405,33790,34169,34539,34901,35255,35605,35950
304,56,56,57,57,57,57,57,57,57,57,57,57,56,56,56,56
666,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
840,281983,284852,287507,290028,292539,295130,297827,300595,303374,306076,308641,311051,313335,315537,317719,319929
36,19066,19269,19475,19697,19948,20239,20574,20947,21342,21739,22120,22480,22822,23151,23475,23800
554,3859,3908,3963,4022,4080,4135,4186,4233,4278,4323,4370,4418,4468,4518,4567,4615
242,811,814,816,817,818,822,827,835,843,852,860,867,874,880,886,892
540,213,217,221,225,229,233,236,240,244,247,251,255,258,262,265,269
598,5572,5716,5862,6011,6162,6315,6470,6628,6787,6947,7108,7269,7431,7593,7756,7920
90,413,424,435,447,458,470,481,493,504,516,528,540,552,564,576,587
548,185,189,194,199,204,209,215,220,225,231,236,242,247,253,259,265
316,155,156,157,158,158,158,159,159,159,159,159,160,160,160,161,162
296,84,86,87,89,91,92,94,96,98,101,103,105,107,109,110,112
584,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53
583,107,107,107,107,107,106,106,105,104,104,104,103,104,104,104,104
520,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11
580,69,69,69,67,66,64,62,60,57,56,54,54,54,54,54,55
585,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,21
16,58,58,59,59,59,59,59,58,57,56,56,55,55,55,55,56
184,18,18,19,19,20,20,20,20,19,19,19,18,18,18,18,17
258,237,241,245,248,252,255,258,261,263,266,268,270,272,274,275,278
570,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
882,175,176,177,178,179,180,181,182,184,185,186,188,189,191,192,194
772,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
776,98,99,99,100,100,101,102,102,103,104,104,105,105,105,106,106
798,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11
876,15,15,15,15,15,15,14,14,14,14,13,13,13,13,12,12
,,,,,,,,,,,,,,,,
TOTAL,6145008,6223415,6303150,6381413,6461373,6542159,7623840,6706417,6789766,6873743,6958376,7043017,7128184,7213426,7298452,7683011
