ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1994.5.1,1994,Pursuing Perspectives,Susan Cooper,Oil on Sculpted Wood,Virginia Village Library,,,3160112.60639,1676323.88408,{00000000-0000-0000-0000-000000000000}
1991.7.1,1991,Taking The Heat,Joseph A Cipri,Bronze,Firestation 1,,,3141394.359,1694924.16082,{00000000-0000-0000-0000-000000000000}
1930.1.1,1930,Grizzlys Last Stand,Louis Paul Jones,Bronze ,City Park,NW corner of DMNS Exterior,,3156364.74943,1697822.96627,{00000000-0000-0000-0000-000000000000}
2006.9.1,2006,Field Report,Robin Ault,Acrylic and gouche,Colorado Convention Center Hotel Hyatt,Outside of main ballroom,,3142294.83011,1696113.60564,{00000000-0000-0000-0000-000000000000}
2006.23.1,2006,Untitled,Erik Paddock,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142366.16541,1696096.48409,{00000000-0000-0000-0000-000000000000}
2003.23.1,2003,The Lowry Trios,Steven Batura,Painting,Schlessman Family Library,,,3167589.53597,1687202.09092,{00000000-0000-0000-0000-000000000000}
2006.31.1,2006,Hope Trellis,Emmett  Culligan,Sandstone and Steel,Eddie Maestes Park,"Intersection of Broadway, Lawrence and Park Ave West",,3144024.70453,1700327.37834,{00000000-0000-0000-0000-000000000000}
2010.14.1,2010,Pathways,Juarez Mike,Tile Mosaic,Westwood Childcare Facility,,,3131129.72737,1679728.10654,{00000000-0000-0000-0000-000000000000}
2011.3.1,2011,Cloud Seeding,Erik  Carlson,"Video, film and text and computer interface",Green Valley Ranch Library,,,3206076.97971,1711598.92536,{00000000-0000-0000-0000-000000000000}
1924.2.1,1924,Faculty Row and Animal Spirits,Robert Garrison,Frieze,South High School ,,,3150074.66577,1677420.95318,{00000000-0000-0000-0000-000000000000}
1983.2.1,1983,Reflections,Frank Swanson,Stone,Denver Botanic Gardens ,,,3151741.76527,1692107.73939,{00000000-0000-0000-0000-000000000000}
1989.6.1,1984,Flight of the Eagle Dancer,Jerry Jaramillo,Mural,Aztlan Rec Center ,,,3139318.56472,1708406.0902,{00000000-0000-0000-0000-000000000000}
2011.7.7,2011,The Flying Horse Carries Me Across the Sky,Steven Altman,"Acrylic, graphite and paint skins on panel",Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.6,2011,Colorado Prints,Jess E. DuBois,12 fine art prints,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.4.1,2011,Dream Big  Denver,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.4.2,2011,Cubist Roots No Bull,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.4.3,2011,Ya Need Culture Dog,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.4.4,2011,Sweet After Bitter,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.5,2011,Imagination is Key,Guerilla Garden,mural -spray paint and enamel on concrete,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.3,2011,Things that make you smile I-IV,Vincent Juarez,tile mosaic,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.1,2011,Peace Bird,Ray King,dichroic glass,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.7.2,2011,Up Up and Away,Carol Ann Waugh,Fabric on Panel,Eastside Human Services ,,,3154493.28568,1705879.82659,{00000000-0000-0000-0000-000000000000}
2011.8.1,2011,Two Views from Above,Ken Bernstein,Photorealism Murals,Roslyn Administration Building ,,,3168522.5262,1715313.94137,{00000000-0000-0000-0000-000000000000}
2011.5.1,2011,Lake Totem,Andrew Dufford,Stone,Sloan's Lake Park Marina ,,,3125976.24046,1696828.09784,{00000000-0000-0000-0000-000000000000}
2011.9.1,2011,Sunlight,Adam Frank,Video Projection,Minoru Yasui Building ,,,3142954.80553,1694999.34574,{00000000-0000-0000-0000-000000000000}
2011.4.3,2011,Sun Spot,Laura Haddad and Tom Drugan,"Three components: Steel and Stainless pet tags, aluminum",Denver Municipal Animal Shelter ,,,3139888.0303,1685761.16662,{00000000-0000-0000-0000-000000000000}
2011.6.1,2011,Twilight Twist,Erick Johnson,stainless steel,Ruby Hill Park ,,,3139339.42586,1674745.23517,{00000000-0000-0000-0000-000000000000}
2011.10.1,2011,Virga,Patrick Marold,stainless steel,Delgany Pedestrian Bridge...  roughly,,,3139112.28337,1698970.76602,{00000000-0000-0000-0000-000000000000}
2011.11.1,2011,Connections,Robert Pietruzcewski,titanium and steel,Skyline Park ,,,3141467.96871,1697464.59942,{00000000-0000-0000-0000-000000000000}
2011.12.1,2011,Rex Morgan Tribute Sculpture,Patrick Marold,stone,DPAC Galleria,,,3140774.45353,1696261.10425,{00000000-0000-0000-0000-000000000000}
2012.1.1,2012,Untitled,Bob Zoell,Ceramic tiles,Police: Traffic Operations-,,,3141650.60001,1703859.79578,{00000000-0000-0000-0000-000000000000}
2012.2.4,2012,Face the Sun,Kevin Curry,Lexan sheeting, ,,,3128144.01112,1706722.77983,{00000000-0000-0000-0000-000000000000}
2006.1.1,2006,ENGI,Tatsuo Miyajima,Digital Installation,Denver Art Museum,Atriumof the Hamilton Building,,3143653.95017,1693514.76548,{00000000-0000-0000-0000-000000000000}
2006.7.1,2006,Untitled  Glazed Abstract paintings ,Steve Altman,Acrylic Painting,Colorado Convention Center Hotel Hyatt,,,3142217.78587,1696047.97532,{00000000-0000-0000-0000-000000000000}
2006.8.1,2006,Outside,Joseph Kosuth,Stainless Steel and stone,Colorado Convention Center Hotel Hyatt,Circling exterior of hotel,,3142252.02764,1696076.51072,{00000000-0000-0000-0000-000000000000}
2006.14.1,2006,Untitled,Gary Huibgrtse,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142331.92496,1696139.28656,{00000000-0000-0000-0000-000000000000}
2006.15.1,2006,Untitled,Daniel Perales,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142377.57934,1696193.50164,{00000000-0000-0000-0000-000000000000}
2006.16.1,2006,Untitled,Scott Engel,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142414.67551,1696219.18396,{00000000-0000-0000-0000-000000000000}
2006.17.1,2006,Untitled,William Wylie,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142440.35643,1696247.71804,{00000000-0000-0000-0000-000000000000}
2006.18.1,2006,Untitled,Jeffrey Hirsch,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142480.30451,1696281.95981,{00000000-0000-0000-0000-000000000000}
2006.19.1,2006,Untitled,Kevin OConnell ,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142252.02764,1695999.46654,{00000000-0000-0000-0000-000000000000}
2006.20.1,2006,Untitled,Steve Fitch,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142274.85542,1696030.85509,{00000000-0000-0000-0000-000000000000}
2006.21.1,2006,Untitled,Frank Golhke,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142311.95034,1696050.82979,{00000000-0000-0000-0000-000000000000}
2006.22.1,2006,Untitled,Michael Mancarella,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142346.19204,1696076.51072,{00000000-0000-0000-0000-000000000000}
2006.24.1,2006,Untitled,Lyn Smith,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142397.55396,1696125.01949,{00000000-0000-0000-0000-000000000000}
2006.25.1,2006,Untitled,William Suttom,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142443.20959,1696159.26126,{00000000-0000-0000-0000-000000000000}
2006.3.1,2006,Channeled Energy Flow,Caspar Henselman,Fiberglass_stone_light  ,Police Department District 2 Northeast,,,3162308.52343,1706293.04852,{00000000-0000-0000-0000-000000000000}
2006.2.1,2006,Prairie Dogs and Schoolhouse ,Judith Stewart,Bronze,Green Valley Ranch Recreation Center,,,3205850.69461,1711796.28827,{00000000-0000-0000-0000-000000000000}
2006.4.1,2006,Promenade,Ann Weber,Bronze,Skyline Park,,,3141887.68771,1697864.82435,{00000000-0000-0000-0000-000000000000}
1970.3.1,1970,The Family,Edgar Britton,Bronze,Denver Health  ,Circle Drive at the Main Entrance,,3142944.13205,1690425.56234,{00000000-0000-0000-0000-000000000000}
1971.2.1,1971,Eyes On The Park,Emanuel Martinez,Mural,Curtis-Mestizo Park,,,3147557.85494,1702693.3376,{00000000-0000-0000-0000-000000000000}
2006.6.1,2006,Combustion,Joseph McDonnell,Stainless Steel,Parkfield Fire Station ,,,3197867.09278,1713926.21188,{00000000-0000-0000-0000-000000000000}
2006.5.1,2006,MLK Plaques,Li Hardison,Bronze,MLK Improvement Project ,,,3159770.98126,1702916.17563,{00000000-0000-0000-0000-000000000000}
